"RefMetadataComponentId","RefMetadataComponentType","RefMetadataComponentName","MetadataComponentId","MetadataComponentType","MetadataComponentName"
"01p04000000E0UEAA0","ApexClass","TriggerHandler","01p04000000DzHkAAK","ApexClass","ContactTriggerHandler"
"01p04000000E0UEAA0","ApexClass","TriggerHandler","01p04000000DzHsAAK","ApexClass","CreditNoteTriggerHandler"
"01p04000000E0UEAA0","ApexClass","TriggerHandler","01p04000000DzHtAAK","ApexClass","CreditNoteTriggerHandlerTest"
"01p04000000E0UEAA0","ApexClass","TriggerHandler","01p04000000DzI0AAK","ApexClass","DebitNoteTriggerHandler"
"01p04000000E0UEAA0","ApexClass","TriggerHandler","01p04000000DzI1AAK","ApexClass","DebitNoteTriggerHandlerTest"
"01p04000000E0UEAA0","ApexClass","TriggerHandler","01p04000000DzIUAA0","ApexClass","OpportunityTriggerHandler"
"01p04000000E0UEAA0","ApexClass","TriggerHandler","01p04000000DzIeAAK","ApexClass","SubscriptionTriggerHandler"
"01p04000000E0UEAA0","ApexClass","TriggerHandler","01p04000000E1HLAA0","ApexClass","OrderTriggerHandler"
"01p04000000E0UEAA0","ApexClass","TriggerHandler","01p04000000E1zwAAC","ApexClass","InvoiceTriggerHandler"
"01p04000000E0UEAA0","ApexClass","TriggerHandler","01p04000000E2D0AAK","ApexClass","CPQ_ContractTriggerHandlerTest"
"01p04000000E0UEAA0","ApexClass","TriggerHandler","01p04000000E2D5AAK","ApexClass","CPQ_OrderProductTriggerHandlerTest"
"01p04000000E0UEAA0","ApexClass","TriggerHandler","01p04000000E2LnAAK","ApexClass","CPQ_ContractTriggerHandler"
"01p04000000E0UEAA0","ApexClass","TriggerHandler","01p04000000E7j6AAC","ApexClass","SubscriptionTriggerHandlerTest"
"01p04000000E0UEAA0","ApexClass","TriggerHandler","01p04000000EDy2AAG","ApexClass","ContactTriggerHandlerTest"
"01p04000000E0UEAA0","ApexClass","TriggerHandler","01p04000000EeMeAAK","ApexClass","CPQ_OrderOpportunityEventTest"
"01p04000000E0UEAA0","ApexClass","TriggerHandler","01p04000000EsFRAA0","ApexClass","CPQ_ActivateOrderBatchTest"
"01p04000000E0UJAA0","ApexClass","CPQ_TestsCache","01p04000000DzHcAAK","ApexClass","CPQ_InvoiceLineTriggerHandlerTest"
"01p04000000E0UJAA0","ApexClass","CPQ_TestsCache","01p04000000DzHtAAK","ApexClass","CreditNoteTriggerHandlerTest"
"01p04000000E0UJAA0","ApexClass","CPQ_TestsCache","01p04000000DzI1AAK","ApexClass","DebitNoteTriggerHandlerTest"
"01p04000000E0UJAA0","ApexClass","CPQ_TestsCache","01p04000000E2D0AAK","ApexClass","CPQ_ContractTriggerHandlerTest"
"01p04000000E0UJAA0","ApexClass","CPQ_TestsCache","01p04000000E2D5AAK","ApexClass","CPQ_OrderProductTriggerHandlerTest"
"01p04000000E0UJAA0","ApexClass","CPQ_TestsCache","01p04000000E2DFAA0","ApexClass","OpportunityTriggerHandlerTest"
"01p04000000E0UJAA0","ApexClass","CPQ_TestsCache","01p04000000E7j6AAC","ApexClass","SubscriptionTriggerHandlerTest"
"01p04000000E0UJAA0","ApexClass","CPQ_TestsCache","01p04000000EDy2AAG","ApexClass","ContactTriggerHandlerTest"
"01p04000000E0UJAA0","ApexClass","CPQ_TestsCache","01p04000000EeMeAAK","ApexClass","CPQ_OrderOpportunityEventTest"
"01p04000000E0UJAA0","ApexClass","CPQ_TestsCache","01p04000000EsFRAA0","ApexClass","CPQ_ActivateOrderBatchTest"
"01p04000000E1HLAA0","ApexClass","OrderTriggerHandler","01p04000000E2NNAA0","ApexClass","OrderTriggerHandlerTest"
"01p04000000E1HLAA0","ApexClass","OrderTriggerHandler","01q040000008VANAA2","ApexTrigger","OrderTrigger"
"01p04000000E1zwAAC","ApexClass","InvoiceTriggerHandler","01q040000008VEjAAM","ApexTrigger","InvoiceTrigger"
"01p04000000E2LiAAK","ApexClass","ApexUtils","01p04000000DzHJAA0","ApexClass","AccountTriggerHandler"
"01p04000000E2LiAAK","ApexClass","ApexUtils","01p04000000DzHdAAK","ApexClass","CPQ_OrderProductTriggerHandler"
"01p04000000E2LiAAK","ApexClass","ApexUtils","01p04000000DzIUAA0","ApexClass","OpportunityTriggerHandler"
"01p04000000E2LiAAK","ApexClass","ApexUtils","01p04000000E1HLAA0","ApexClass","OrderTriggerHandler"
"01p04000000E2LiAAK","ApexClass","ApexUtils","01p04000000E8siAAC","ApexClass","ApexUtilsTest"
"01p04000000E2LnAAK","ApexClass","CPQ_ContractTriggerHandler","01q040000008VGGAA2","ApexTrigger","CPQ_ContractTrigger"
"01p04000000EErqAAG","ApexClass","ParseSelectedChoices","01p04000000EWfiAAG","ApexClass","ParseSelectedChoicesTest"
"01p04000000EeMKAA0","ApexClass","CPQ_OrderOpportunityEvent","01p04000000EeMeAAK","ApexClass","CPQ_OrderOpportunityEventTest"
"01p04000000EeMKAA0","ApexClass","CPQ_OrderOpportunityEvent","01p04000000Egy1AAC","ApexClass","GenericPlatformEventHelper"
"01p04000000EgxwAAC","ApexClass","GenericPlatformEventTypeHelper","01p04000000Egy1AAC","ApexClass","GenericPlatformEventHelper"
"01p04000000Egy1AAC","ApexClass","GenericPlatformEventHelper","01p04000000DzIUAA0","ApexClass","OpportunityTriggerHandler"
"01p04000000Egy1AAC","ApexClass","GenericPlatformEventHelper","01p04000000E1HLAA0","ApexClass","OrderTriggerHandler"
"01p04000000Egy1AAC","ApexClass","GenericPlatformEventHelper","01p04000000EeMeAAK","ApexClass","CPQ_OrderOpportunityEventTest"
"01p04000000Egy1AAC","ApexClass","GenericPlatformEventHelper","01p04000000EgyGAAS","ApexClass","GenericPlatformEventHelperTest"
"01p04000000Egy1AAC","ApexClass","GenericPlatformEventHelper","01q040000008Y4wAAE","ApexTrigger","GenericPlatformEvent"
"01p04000000EsBuAAK","ApexClass","CPQ_ActivateOrderBatch","01p04000000EsFRAA0","ApexClass","CPQ_ActivateOrderBatchTest"
"01p2J0000046h55QAA","ApexClass","SalesReadyOppController","01p2J0000046h56QAA","ApexClass","SalesReadyOppControllerTest"
"01p2J0000046h55QAA","ApexClass","SalesReadyOppController","0662J000001Nb0LQAS","ApexPage","SalesReadyOpp"
